date,sleepIntervalIndex,sleepTimeStart,sleepTimeEnd,sleepDuration,sleepQuality,restingHR,interrupted
09/15/2013,1,"Sep 15, 2013 7:47 PM","Sep 16, 2013 5:17 AM",9h 30m,73,47,1
09/15/2013,2,"Sep 15, 2013 6:01 PM","Sep 15, 2013 6:35 PM",34m,73,50,0
09/15/2013,3,"Sep 15, 2013 7:03 PM","Sep 15, 2013 10:00 PM",2h 57m,73,42,0
09/16/2013,1,"Sep 16, 2013 12:42 AM","Sep 16, 2013 1:03 AM",21m,,48,
09/16/2013,2,"Sep 16, 2013 1:25 AM","Sep 16, 2013 3:11 AM",1h 46m,,43,
09/17/2013,1,"Sep 17, 2013 7:21 PM","Sep 17, 2013 12:45 AM",-18h 36m,62,42,0
09/17/2013,2,"Sep 17, 2013 8:43 AM","Sep 17, 2013 9:40 AM",57m,62,52,0
09/18/2013,1,"Sep 18, 2013 3:06 AM","Sep 18, 2013 5:59 AM",2h 53m,35,48,0
09/19/2013,1,"Sep 19, 2013 12:39 AM","Sep 19, 2013 5:44 AM",5h 5m,56,53,0
09/20/2013,1,"Sep 20, 2013 1:07 AM","Sep 20, 2013 6:11 AM",5h 4m,56,56,0
09/21/2013,1,"Sep 21, 2013 12:32 AM","Sep 21, 2013 1:07 AM",35m,41,51,1
09/21/2013,2,"Sep 21, 2013 1:17 AM","Sep 21, 2013 2:35 AM",1h 18m,41,50,1
09/21/2013,3,"Sep 21, 2013 3:09 AM","Sep 21, 2013 4:06 AM",57m,41,50,1
09/21/2013,4,"Sep 21, 2013 4:42 AM","Sep 21, 2013 6:13 AM",1h 31m,41,52,1
09/21/2013,5,"Sep 21, 2013 6:32 AM","Sep 21, 2013 6:53 AM",21m,41,52,1
09/23/2013,1,"Sep 23, 2013 12:41 AM","Sep 23, 2013 7:38 AM",6h 57m,94,52,0
09/24/2013,1,"Sep 24, 2013 12:59 AM","Sep 24, 2013 6:50 AM",5h 51m,78,51,0
09/25/2013,1,"Sep 25, 2013 12:44 AM","Sep 25, 2013 7:01 AM",6h 17m,79,48,0
09/27/2013,1,"Sep 27, 2013 1:49 AM","Sep 27, 2013 7:16 AM",5h 27m,59,49,1
09/28/2013,1,"Sep 28, 2013 1:33 AM","Sep 28, 2013 7:27 AM",5h 54m,72,48,0
09/29/2013,1,"Sep 29, 2013 2:06 AM","Sep 29, 2013 8:24 AM",6h 18m,80,50,0
09/30/2013,1,"Sep 30, 2013 12:41 AM","Sep 30, 2013 7:56 AM",7h 15m,95,48,0
10/01/2013,1,"Oct 1, 2013 12:22 AM","Oct 1, 2013 8:21 AM",7h 59m,94,48,0
10/02/2013,1,"Oct 2, 2013 2:44 AM","Oct 2, 2013 7:13 AM",4h 29m,46,47,0
10/03/2013,1,"Oct 3, 2013 1:03 AM","Oct 3, 2013 8:30 AM",7h 27m,95,49,0
10/04/2013,1,"Oct 4, 2013 3:24 AM","Oct 4, 2013 8:36 AM",5h 12m,58,50,0
10/05/2013,1,"Oct 5, 2013 1:33 AM","Oct 5, 2013 8:30 AM",6h 57m,94,49,0
10/06/2013,1,"Oct 6, 2013 2:00 AM","Oct 6, 2013 8:15 AM",6h 15m,75,48,1
10/08/2013,1,"Oct 8, 2013 12:47 AM","Oct 8, 2013 8:17 AM",7h 30m,95,49,0
10/09/2013,1,"Oct 9, 2013 1:40 AM","Oct 9, 2013 8:45 AM",7h 5m,95,47,0
10/10/2013,1,"Oct 9, 2013 11:58 PM","Oct 10, 2013 6:25 AM",6h 27m,83,47,0
10/12/2013,1,"Oct 12, 2013 2:00 AM","Oct 12, 2013 8:58 AM",6h 58m,81,48,0
10/12/2013,2,"Oct 12, 2013 9:30 PM","Oct 12, 2013 11:10 PM",1h 40m,81,55,0
10/13/2013,1,"Oct 13, 2013 1:35 AM","Oct 13, 2013 7:59 AM",6h 24m,94,48,0
10/16/2013,1,"Oct 16, 2013 12:32 AM","Oct 16, 2013 7:23 AM",6h 51m,92,48,0
10/18/2013,1,"Oct 18, 2013 12:15 AM","Oct 18, 2013 1:41 AM",1h 26m,60,55,0
10/18/2013,2,"Oct 18, 2013 2:35 AM","Oct 18, 2013 6:31 AM",3h 56m,60,46,0
10/19/2013,1,"Oct 19, 2013 7:17 AM","Oct 19, 2013 8:05 AM",48m,5,47,0
10/20/2013,1,"Oct 20, 2013 1:16 AM","Oct 20, 2013 8:35 AM",7h 19m,95,45,0
10/21/2013,1,"Oct 21, 2013 1:22 AM","Oct 21, 2013 7:47 AM",6h 25m,82,45,0
10/22/2013,1,"Oct 22, 2013 5:29 AM","Oct 22, 2013 8:09 AM",2h 40m,94,45,0
10/22/2013,2,"Oct 22, 2013 1:50 AM","Oct 22, 2013 5:12 AM",3h 22m,94,44,0
10/23/2013,1,"Oct 23, 2013 1:46 AM","Oct 23, 2013 8:07 AM",6h 21m,30,46,0
10/24/2013,1,"Oct 24, 2013 12:59 AM","Oct 24, 2013 7:15 AM",6h 16m,79,47,0
10/25/2013,1,"Oct 25, 2013 12:49 AM","Oct 25, 2013 7:09 AM",6h 20m,81,47,0
10/26/2013,1,"Oct 26, 2013 1:05 AM","Oct 26, 2013 1:53 AM",48m,41,47,0
10/26/2013,2,"Oct 26, 2013 2:05 AM","Oct 26, 2013 2:30 AM",25m,41,49,0
10/26/2013,3,"Oct 26, 2013 2:39 AM","Oct 26, 2013 4:32 AM",1h 53m,41,47,0
10/26/2013,4,"Oct 26, 2013 4:42 AM","Oct 26, 2013 6:01 AM",1h 19m,41,46,0
10/27/2013,1,"Oct 27, 2013 6:19 AM","Oct 27, 2013 8:05 AM",1h 46m,12,46,0
10/28/2013,1,"Oct 28, 2013 1:29 AM","Oct 28, 2013 7:09 AM",5h 40m,65,48,0
